mes,site,Medio_de_pago,Incoming_amt,Incoming_qty,Status,BUYER_TYPE,FREQUENCY_MP,LIFECYCLE,SPENDER_TYPE
April,MLM,tc mp,32.53,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,digital_currency,29.49,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_high_spender
April,MLM,digital_currency,44.27,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,tc mp,9.97,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
May,MLM,digital_currency,8.62,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
NULL,MLM,tc mp,34.18,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,bank transfer,36.45,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_spender
April,MLM,debit card,85.08,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,debit card,19.86,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
NULL,MLM,credit card,115.79,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,credit card,35.47,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,debit card,19.54,1,Rej. by User Error,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,account_money,26.93,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
April,MLM,account_money,13.97,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,debit card,94.26,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,credit card,15.51,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_low_spender
April,MLM,credit card,64.97,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
NULL,MLM,credit card,9.28,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
May,MLM,bank transfer,25.76,1,Cancelled,Repeat Buyer,NEW,active_buyer_low,mid_spender
April,MLM,digital_currency,47.65,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_high_spender
NULL,MLM,credit card,61.52,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,61.04,1,Approved,Repeat Buyer,CASUAL,active_buyer_mid,high_spender
NULL,MLM,debit card,149.84,1,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
May,MLM,tc mp,62.45,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,debit card,18.74,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,digital_currency,44.12,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,mid_high_spender
April,MLM,debit card,43.8,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLM,debit card,34.29,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,digital_currency,25.79,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,debit card,120.6,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,ticket,15.41,1,Cancelled,Repeat Buyer,NEW,active_buyer_low,ultra_high_spender
April,MLM,digital_currency,26.72,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
NULL,MLM,account_money,89.09,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
NULL,MLM,debit card,12.69,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,account_money,37.76,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,credit card,38.32,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_high_spender
April,MLM,credit card,28.07,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
NULL,MLM,tc mp,1.38,2,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,47.2,2,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,tc mp,186.26,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
NULL,MLM,digital_currency,18.44,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
April,MLM,debit card,117.4,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,debit card,296.05,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,high_spender
May,MLM,atm,57.3,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
NULL,MLM,credit card,104.03,1,Rej. by User Error,Repeat Buyer,,active_buyer_mid,mid_high_spender
April,MLM,bank transfer,17.2,1,Approved,Repeat Buyer,CASUAL,active_buyer_low,mid_low_spender
April,MLM,ticket,22.07,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
NULL,MLM,debit card,21.42,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
April,MLM,debit card,10.17,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,debit card,149.31,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,debit card,32.77,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,debit card,66.18,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,ticket,10.12,1,Cancelled,New Buyer,,onboarding,low_spender
NULL,MLM,credit card,46.74,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,ticket,13.3,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,credit card,30.08,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,debit card,30.8,1,Rej. by User Error,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
May,MLM,debit card,62.88,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,credit card,17.2,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
April,MLM,ticket,19.4,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
NULL,MLM,debit card,19.81,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,debit card,65.87,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
April,MLM,debit card,24.26,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,digital_currency,47.62,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,ticket,26.82,1,Approved,Repeat Buyer,NEW,onboarding,high_spender
May,MLM,debit card,20.64,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,debit card,112.84,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
NULL,MLM,bank transfer,66.66,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,debit card,12.09,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,ticket,25.89,1,Cancelled,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,credit card,26.59,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
NULL,MLM,credit card,25.06,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
NULL,MLM,ticket,28.93,1,Approved,Repeat Buyer,NEW,onboarding,mid_spender
April,MLM,tc mp,79,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,ticket,15.34,1,Approved,Repeat Buyer,NEW,onboarding,mid_low_spender
May,MLM,debit card,21.15,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,debit card,24.09,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,digital_currency,17.99,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,debit card,127.54,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
May,MLM,credit card,93.33,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,credit card,33.17,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,debit card,9.92,1,Approved,New Buyer,NEW,onboarding,low_spender
April,MLM,debit card,14.15,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
April,MLM,digital_currency,18.37,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_high_spender
April,MLM,digital_currency,33.36,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,credit card,353.01,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
April,MLM,digital_currency,24.39,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,credit card,62.67,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,debit card,33.55,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,account_money,29.67,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,account_money,22.66,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,credit card,64.37,1,Approved,Repeat Buyer,CORE,active_buyer_mid,high_spender
May,MLM,account_money,28.73,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,credit card,20.68,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,account_money,90.84,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,credit card,54.09,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,tc mp,31.9,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,digital_currency,33.99,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,debit card,215.89,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
NULL,MLM,account_money,124.47,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,debit card,58.22,1,Approved,New Buyer,NEW,onboarding,ultra_high_spender
May,MLM,bank transfer,14.39,1,Cancelled,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,ticket,234.98,1,Cancelled,Repeat Buyer,NEW,active_buyer_low,mid_high_spender
April,MLM,debit card,20.26,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
NULL,MLM,account_money,19.72,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
April,MLM,digital_currency,30.99,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
NULL,MLM,debit card,50.6,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,credit card,92.35,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,credit card,26.69,2,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,debit card,12.19,1,Rej. by User Error,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,23.66,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_spender
May,MLM,tc mp,302.44,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,credit card,9.17,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,debit card,66.48,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,account_money,25.77,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,debit card,38.3,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,ticket,15.97,1,Approved,New Buyer,NEW,onboarding,low_spender
April,MLM,credit card,147.47,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
NULL,MLM,debit card,33.26,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,digital_currency,28,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
NULL,MLM,credit card,23.14,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,bank transfer,20.66,1,Approved,Repeat Buyer,CASUAL,onboarding,mid_spender
April,MLM,debit card,34.72,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
NULL,MLM,bank transfer,11.91,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,tc mp,18.34,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,account_money,38.53,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,credit card,15.7,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_low_spender
May,MLM,digital_currency,52.6,1,Approved,Repeat Buyer,NEW,onboarding,mid_low_spender
April,MLM,debit card,20.67,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,digital_currency,29.21,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_low_spender
April,MLM,credit card,33.82,2,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,account_money,20.53,1,Approved,Repeat Buyer,NEW,active_buyer_mid,ultra_high_spender
May,MLM,debit card,47.77,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
NULL,MLM,credit card,119.93,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
NULL,MLM,credit card,37.25,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
April,MLM,digital_currency,28.82,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,ticket,20.35,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
NULL,MLM,credit card,59.57,2,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLM,credit card,156.11,1,Rej. by Risk Bank - App. by PF,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,tc mp,114.46,1,Rej. by Bank Other,New Buyer,NEW,active_buyer_mid,ultra_high_spender
May,MLM,credit card,600.32,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,debit card,35.94,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,ultra_high_spender
April,MLM,digital_currency,33.71,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,debit card,44.57,1,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
May,MLM,credit card,55.25,2,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
April,MLM,digital_currency,20.76,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,23.69,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,credit card,13.08,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,debit card,20.15,1,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
NULL,MLM,account_money,274.01,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,credit card,13.81,1,Approved,Repeat Buyer,NEW,active_buyer_low,low_spender
April,MLM,digital_currency,10.57,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_low_spender
April,MLM,bank transfer,16.67,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,digital_currency,19.23,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,debit card,20.57,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,account_money,33.74,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,debit card,73.19,1,Rej. Blacklist,Repeat Buyer,NEW,active_buyer_high,high_spender
NULL,MLM,debit card,15.69,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,account_money,14.97,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_spender
May,MLM,debit card,24.22,1,Approved,New Buyer,NEW,active_buyer_low,low_spender
May,MLM,debit card,241.33,1,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
May,MLM,credit card,538.12,1,Insufficient Amount,Repeat Buyer,NEW,active_buyer_mid,high_spender
May,MLM,credit card,122.08,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,tc mp,19.13,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,bank transfer,15.06,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
April,MLM,debit card,19.46,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,debit card,66.53,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
NULL,MLM,credit card,156.5,1,Insufficient Amount,Repeat Buyer,CASUAL,dormant,low_spender
May,MLM,tc mp,10.54,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,account_money,70.98,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_spender
April,MLM,account_money,12.86,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,digital_currency,38.01,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,debit card,13.73,1,Approved,Repeat Buyer,NEW,onboarding,high_spender
May,MLM,digital_currency,51.82,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,account_money,2.77,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
