mes,site,Medio_de_pago,Incoming_amt,Incoming_qty,Status,BUYER_TYPE,FREQUENCY_MP,LIFECYCLE,SPENDER_TYPE
April,MLM,credit card,44.18,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,account_money,28.23,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
NULL,MLM,credit card,50.69,1,Cancelled,Repeat Buyer,CORE,active_buyer_high,high_spender
NULL,MLM,tc mp,54.36,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,debit card,16.5,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_low_spender
April,MLM,debit card,48.96,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,tc mp,72.66,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,credit card,48.02,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,account_money,19.52,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,debit card,32.51,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,ultra_high_spender
May,MLM,debit card,39.07,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,account_money,14.8,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,debit card,11.9,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,credit card,6.52,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
